,bathrooms,bedrooms,longitude,latitude,price
14650,1.0,0,-73.9544,40.7724,1800
28715,1.0,1,-73.8694,40.7334,2845
15804,1.0,2,-73.9727,40.7436,3197
16327,1.0,1,-73.9404,40.8294,2000
46324,2.0,4,-73.9653,40.8031,5000
4976,1.0,2,-73.9814,40.7395,3895
16735,1.0,1,-74.005,40.7304,3495
32292,1.0,1,-73.9519,40.7832,2250
5019,2.0,2,-73.9753,40.7345,4770
30086,1.0,2,-73.9648,40.7535,3200
6599,1.0,2,-73.9839,40.7316,3150
399,2.0,2,-73.9781,40.7658,5400
22618,1.0,1,-73.9349,40.8465,1600
28448,2.0,2,-73.9857,40.7529,4860
26738,1.0,2,-74.0024,40.7507,4795
36347,1.0,1,-73.9539,40.7681,2350
36482,1.0,3,-74.0075,40.7047,3988
47152,2.0,4,-73.9482,40.7782,4950
8730,2.0,3,-73.9832,40.7352,5500
36067,1.0,0,-73.9964,40.7441,2500
36972,1.0,0,-73.9438,40.838,1800
11072,1.0,0,-73.9475,40.775,1875
24485,1.0,0,-74.0089,40.7328,2295
16577,2.0,2,-73.9498,40.7856,6200
33749,1.0,1,-74.0044,40.7231,2795
30716,1.0,2,-74.0042,40.7239,3795
19394,3.0,3,-73.9662,40.7615,10250
11987,1.0,1,-73.9879,40.7654,2200
36106,1.5,1,-73.9547,40.7679,2900
34404,1.0,0,-73.9635,40.7588,2250
13300,1.0,2,-73.9817,40.7319,4233
27714,1.0,1,-73.9517,40.7768,2395
2575,1.0,0,-73.9376,40.8404,1425
46266,1.0,2,-73.9516,40.8005,2750
12029,1.0,2,-73.98100000000002,40.7394,2950
36571,1.0,1,-73.9773,40.7654,3095
12832,1.0,1,-73.9585,40.7638,3200
4118,2.0,1,-73.9957,40.7427,5395
10247,1.0,2,-73.9517,40.77,2595
35961,1.0,1,-73.9976,40.7605,3950
8759,2.0,3,-73.99,40.7601,3575
4151,2.0,2,-73.8123,40.7252,2375
21279,1.0,3,-73.9399,40.8503,3300
43964,2.0,2,-73.9518,40.7717,4500
10200,1.0,0,-73.9511,40.7833,2050
48376,2.0,3,-73.9523,40.7805,3750
37347,1.0,1,-74.0107,40.7237,3800
48170,1.0,1,-73.9428,40.8458,1650
38933,2.0,4,-73.9761,40.7855,5415
46697,1.0,3,-73.9978,40.7612,5995
47014,1.0,1,-73.9811,40.7398,4000
26775,1.0,2,-73.9825,40.7301,4295
13732,1.0,0,-73.9376,40.8404,1450
7180,1.0,1,-74.0023,40.7323,2700
8979,2.0,2,-73.9572,40.7459,4400
28925,2.0,2,-73.9903,40.7468,7300
8154,2.0,2,-73.9735,40.7469,5600
12402,3.5,4,-73.9533,40.768,8000
30208,1.0,1,-73.9902,40.7342,5000
32087,2.0,4,-73.9864,40.7514,5600
14748,1.0,1,-73.9975,40.7399,2700
11887,1.0,2,-73.9876,40.7104,4450
11104,1.0,2,-73.9927,40.7216,3295
13065,1.0,0,-73.9984,40.7545,2550
2618,2.0,3,-73.9487,40.7845,4000
8907,1.0,2,-73.9568,40.8036,3100
41719,1.0,2,-73.9236,40.8685,1850
37166,1.0,2,-73.9649,40.7572,3850
8834,1.0,2,-73.9982,40.7568,3150
48162,1.0,0,-73.9881,40.7243,1875
24238,1.0,2,-73.9907,40.7177,3200
46252,2.0,4,-73.9885,40.7611,4750
27111,1.0,1,-73.9628,40.7633,3600
35408,1.0,2,-73.9517,40.7831,3150
41921,4.0,4,-73.953,40.7723,12000
11445,2.0,3,-73.9811,40.7449,5700
18021,1.0,2,-73.9935,40.7567,1900
24755,1.0,0,-73.9964,40.7441,2400
28011,1.0,2,-74.0063,40.7347,5400
19784,1.0,1,-73.9895,40.7202,2288
30821,1.0,0,-73.9759,40.7871,2025
15638,1.0,3,-74.0065,40.7081,3740
46520,1.0,2,-73.92699999999998,40.7721,1950
24410,1.0,0,-73.9497,40.7776,1925
49299,1.0,2,-73.9556,40.776,5000
5710,1.0,1,-73.9915,40.7583,3790
24444,1.0,1,-73.956,40.7472,2695
12786,2.0,3,-74.0095,40.7054,4362
4418,2.0,2,-73.8475,40.7247,3000
45265,1.0,1,-73.9668,40.6905,2750
2923,1.0,2,-73.9252,40.696,2500
19798,1.0,1,-73.9782,40.7749,2700
43642,1.0,1,-73.9434,40.7878,2495
37916,1.0,2,-74.0,40.7278,3495
28129,1.0,0,-74.0066,40.7084,2750
29264,1.0,2,-73.9483,40.7904,2300
10345,2.0,2,-74.0046,40.7073,5170
17358,1.0,2,-74.0053,40.7456,3800
1213,1.0,0,-73.9757,40.7462,2775
35499,1.0,1,-73.9766,40.7808,2100
34672,1.0,1,-73.9837,40.7674,3400
39507,1.0,3,-73.9567,40.8035,3750
40904,1.0,2,-73.9838,40.7287,3295
19308,1.0,1,-73.9785,40.7906,2900
40479,1.0,1,-74.0029,40.7295,4625
2470,1.0,1,-73.9144,40.8788,1875
2615,1.0,1,-73.9174,40.8696,1750
2850,1.0,2,-73.9933,40.7598,3095
23700,1.0,2,-73.9647,40.8028,3200
18010,1.0,3,-73.9488,40.7839,3995
39000,1.0,3,-73.9959,40.7211,4495
27627,2.0,5,-73.9728,40.7978,6250
32164,2.0,3,-73.9901,40.7477,4650
46652,2.0,3,-73.9981,40.7372,5995
15011,1.0,2,-73.95100000000002,40.724,2995
38256,1.0,2,-73.9806,40.74,3200
1605,1.0,2,-73.9651,40.7573,2950
23545,1.0,1,-73.988,40.7254,3100
31181,1.0,3,-74.0049,40.7166,3795
5545,1.0,2,-73.9819,40.7299,3595
11064,2.0,4,-73.9903,40.7486,7850
32800,0.0,4,-73.9897,40.7652,5995
47059,1.0,1,-73.9922,40.761,2150
16229,1.0,1,-73.9517,40.7755,2550
25172,1.0,1,-73.9799,40.764,3200
2148,1.0,1,-73.9462,40.7777,3195
15994,2.0,2,-74.0148,40.7179,8000
28972,1.0,2,-73.9419,40.7178,2650
28786,1.0,0,-73.9616,40.7678,2950
15558,1.0,0,-73.9505,40.7771,2400
127,2.0,3,-73.7804,40.7796,2000
5611,1.0,0,-73.965,40.8008,1850
40462,1.0,2,-73.9632,40.7631,4095
12305,2.0,4,-74.0148,40.7182,4550
8535,1.0,0,-73.9929,40.6983,1995
248,1.0,3,-73.9831,40.7187,4725
25838,1.0,0,-74.0157,40.7064,2845
22732,1.0,2,-73.999,40.761,4300
40842,1.0,0,-73.9609,40.8012,1625
38811,1.0,1,-74.0103,40.7053,3900
47935,1.0,2,-73.9368,40.8514,2350
35366,1.0,0,-74.0077,40.7032,2525
9040,1.0,0,-73.9863,40.7664,2700
43746,2.0,3,-73.9413,40.7515,4400
40841,1.0,0,-73.984,40.7284,2400
22672,1.0,2,-73.9815,40.7297,4000
35708,1.0,2,-73.9571,40.7765,2950
41695,1.0,4,-73.9676,40.7951,5485
27429,1.0,0,-73.9616,40.7677,3630
12518,1.0,1,-73.9657,40.7535,2495
13014,1.0,2,-73.9387,40.8469,2100
45916,1.0,1,-73.9643,40.5946,1650
18698,1.0,3,-73.9572,40.7657,3600
20250,1.0,2,-73.9402,40.6987,2550
25414,3.0,5,-74.0013,40.7081,11995
10328,1.0,1,-73.9464,40.7805,3475
42793,1.0,1,-73.9848,40.7635,3050
29148,1.0,1,-73.9509,40.7826,4915
20732,1.0,1,-74.0122,40.7074,2675
29990,1.0,2,-73.9933,40.7598,3195
30599,1.0,3,-73.979,40.7368,4200
36085,1.0,0,-73.9863,40.7349,2600
15073,1.0,3,-73.9378,40.7139,2495
45860,1.0,0,-73.999,40.761,2911
31671,3.0,1,-73.9883,40.7777,4140
28327,1.0,1,-73.9486,40.7838,1875
26112,1.0,2,-74.00399999999998,40.7229,3722
33270,1.0,1,-73.9998,40.7613,3190
49099,1.0,1,-73.9795,40.7404,3625
15004,1.0,0,-73.9541,40.7694,1975
38781,1.0,1,-73.9635,40.7703,2900
32099,2.0,4,-73.9548,40.7804,5350
36032,1.0,1,-74.0046,40.7073,2915
22642,1.0,2,-73.9864,40.7314,2925
21204,2.0,2,-73.9902,40.7434,7500
6114,1.0,3,-73.9382,40.8367,2600
2058,1.0,1,-73.9864,40.747,10000
16069,1.0,1,-73.9859,40.7358,3495
48897,2.0,3,-73.9144,40.8788,4225
5207,1.0,2,-73.9986,40.7296,3350
44861,2.0,4,-73.9631,40.7564,6200
5959,1.0,1,-73.9518,40.7802,2011
17316,1.0,2,-73.961,40.8007,2400
8993,2.0,3,-73.9277,40.8663,2995
28835,1.0,2,-73.9772,40.7412,2965
24226,1.0,0,-73.9847,40.7271,2200
18345,3.0,6,-73.9856,40.7287,9999
37060,1.0,1,-73.9676,40.7951,2950
17601,1.0,0,-73.8508,40.72,1500
11396,1.0,1,-73.957,40.7624,2000
3901,1.0,0,-73.9816,40.7654,2750
17467,1.0,3,-73.9851,40.7274,5750
11026,1.0,3,-73.9457,40.7828,2850
10262,1.0,2,-74.0065,40.7081,3258
12652,1.0,1,-73.9504,40.7823,3400
29269,1.0,1,-73.9521,40.7175,3575
11497,1.0,1,-73.9845,40.7454,3295
42838,1.0,1,-73.9491,40.77,2325
45949,1.0,3,-73.9849,40.7269,4650
36008,1.0,3,-73.9806,40.731,4000
11586,1.0,2,-73.9946,40.7226,4695
28171,1.0,1,-73.9173,40.872,1695
7669,1.0,2,-73.9802,40.7469,2800
27340,1.0,1,-74.0,40.7277,2750
21941,1.0,2,-73.9468,40.7071,2995
32632,1.0,0,-73.9748,40.7481,2700
6654,1.0,1,-73.9504,40.7868,3000
21913,1.0,1,-73.9979,40.7397,3650
34770,2.0,2,-73.9887,40.7752,6635
47532,1.0,2,-73.9742,40.7959,3200
43287,1.0,3,-73.9741,40.7447,4500
23568,1.0,2,-73.9935,40.739,4000
12628,1.0,0,-73.9809,40.7394,2150
3351,1.0,1,-73.9962,40.7593,3100
15221,2.0,3,-73.9741,40.7447,4400
31980,1.0,3,-73.9887,40.7401,5595
25354,1.0,1,-74.0008,40.7476,3119
48796,1.0,2,-73.9864,40.7399,4695
32475,1.0,0,-73.9843,40.7652,2400
24056,1.0,1,-73.9624,40.7645,3995
44257,1.0,2,-74.0149,40.708,3323
20782,1.0,2,-73.9754,40.7444,4000
20181,1.0,2,-73.9421,40.8221,2195
45689,2.0,3,-73.942,40.7874,3995
15527,1.0,0,-73.9963,40.7606,2500
1281,1.0,3,-73.9846,40.7228,5295
22793,1.0,0,-73.9752,40.7855,2295
37884,2.0,3,-73.8607,40.7267,2925
2447,1.0,0,-73.9662,40.755,2195
38938,1.0,0,-73.9875,40.7494,2373
18363,1.0,0,-73.9838,40.7586,2200
21419,3.0,3,-73.9861,40.7721,19015
24248,2.0,2,-73.9591,40.771,4500
30195,1.0,0,-73.9715,40.7985,2095
20216,1.0,0,-74.0161,40.7053,2575
16782,2.5,3,-73.9977,40.7374,11000
21183,1.0,2,-73.9358,40.8431,1950
34808,2.0,3,-73.9735,40.7469,5000
13695,1.0,3,-73.9599,40.8148,3500
22855,1.0,1,-73.97399999999998,40.7623,6235
6917,2.0,3,-73.9959,40.7593,4500
5036,1.0,1,-73.9855,40.719,2350
9561,1.0,2,-73.986,40.7297,3695
4531,1.0,0,-73.9825,40.7817,2075
40628,1.0,1,-73.8171,40.7086,1795
38043,1.0,1,-73.9647,40.7742,4150
5586,1.0,1,-73.9529,40.7701,2500
28525,1.0,3,-73.9423,40.8369,3295
21558,1.0,1,-73.9914,40.7031,4560
28350,1.0,0,-73.9597,40.769,3050
28605,1.0,2,-74.0002,40.7299,4000
19767,3.0,3,-73.9593,40.7594,10000
25456,2.0,2,-73.984,40.7645,4967
30161,1.0,2,-73.9551,40.8209,2100
38230,1.0,1,-74.0064,40.7346,3800
41743,1.0,1,-73.9723,40.7471,3095
44430,2.0,2,-73.9536,40.7775,3100
2325,1.0,2,-73.9918,40.7643,3400
27073,1.5,1,-74.0085,40.7387,6100
41307,1.0,1,-73.957,40.8031,2500
19461,1.0,1,-73.999,40.761,2600
39258,1.0,0,-74.0112,40.7063,2675
25905,2.0,3,-73.9529,40.7693,3900
43970,1.0,1,-73.9738,40.7473,2500
7241,1.0,2,-74.0046,40.7073,3000
48719,2.0,3,-73.9731,40.7936,10040
19624,1.0,0,-73.9776,40.7419,2482
26610,1.0,1,-73.9741,40.7447,2595
29640,2.0,3,-73.9857,40.733,7150
39771,1.0,3,-73.9069,40.7044,2800
32027,1.0,1,-73.9539,40.7807,2800
41723,1.0,0,-73.9864,40.7357,2600
